,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,COMP,"Compass, Inc.",,10.24 +2.26 (+28.32%),2.26,+28.32%,28.138M,4.778M,5.65B,-,128.65%,
1,HIMS,"Hims & Hers Health, Inc.",,68.74 +10.24 (+17.50%),10.24,+17.50%,59.189M,14.602M,15.018B,156.23,521.68%,
2,APPN,Appian Corporation,,37.23 +5.19 (+16.20%),5.19,+16.20%,2.129M,385340,2.751B,-,-1.78%,
3,CELH,"Celsius Holdings, Inc.",,26.09 +3.35 (+14.73%),3.35,+14.73%,24.853M,7.645M,6.132B,36.24,-62.84%,
4,SSDOY,"Shiseido Company, Limited",,17.72 +2.07 (+13.23%),2.07,+13.23%,37804,148266,7.078B,-,-43.62%,
5,SSRM,SSR Mining Inc.,,10.52 +1.19 (+12.75%),1.19,+12.75%,6.13M,2.587M,2.134B,-,106.87%,
6,GRMN,Garmin Ltd.,,241.93 +27.15 (+12.64%),27.15,+12.64%,3.047M,771506,46.457B,30.78,60.79%,
7,KRYS,"Krystal Biotech, Inc.",,176.17 +19.48 (+12.43%),19.48,+12.43%,639474,254061,5.067B,98.42,45.07%,
8,PEN,"Penumbra, Inc.",,303.76 +32.62 (+12.03%),32.62,+12.03%,1.816M,394555,11.658B,867.89,4.97%,
9,VKTX,"Viking Therapeutics, Inc.",,32.29 +3.03 (+10.36%),3.03,+10.36%,8.597M,3.726M,3.603B,-,-16.83%,
10,MCHP,Microchip Technology Incorporated,,63.59 +5.73 (+9.90%),5.73,+9.90%,20.914M,8.938M,34.2B,111.56,-30.69%,
11,CRK,"Comstock Resources, Inc.",,20.81 +1.87 (+9.87%),1.87,+9.87%,4.466M,2.298M,6.082B,-,127.37%,
12,ADI,"Analog Devices, Inc.",,241.66 +21.44 (+9.74%),21.44,+9.74%,9.736M,3.32M,119.899B,73.68,13.68%,
13,RBA,"RB Global, Inc.",,104.72 +8.16 (+8.45%),8.16,+8.45%,3.706M,867610,19.312B,52.10,44.81%,
14,STM,STMicroelectronics N.V.,,26.47 +2.06 (+8.44%),2.06,+8.44%,11.799M,6.022M,23.701B,15.95,-45.29%,
15,SMCI,"Super Micro Computer, Inc.",,60.25 +4.45 (+7.97%),4.45,+7.97%,328.262M,70.892M,35.28B,29.98,-24.00%,
16,VNET,"VNET Group, Inc.",,13.04 +0.98 (+8.13%),0.98,+8.13%,20.795M,5.014M,3.481B,-,737.50%,
